Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,2000,12,0,9,4,9,2,85,0
5,2000,12,0,9,4,9,3,84,0
5,2000,12,0,9,4,9,4,83,0
5,2000,12,0,9,4,9,5,81,0
5,2000,12,0,10,4,10,1,82,0
5,2000,12,0,10,4,10,2,85,0
5,2000,12,0,10,4,10,3,84,0
5,2000,12,0,10,4,10,4,83,0
5,2000,12,0,10,4,10,5,81,0
5,2000,12,0,11,4,11,1,82,0
5,2000,12,0,11,4,11,2,85,0
5,2000,12,0,11,4,11,3,84,0
5,2000,12,0,11,4,11,4,83,0
5,2000,12,0,11,4,11,5,81,0
5,2000,12,0,12,4,12,1,82,0
5,2000,12,0,12,4,12,2,85,0
5,2000,12,0,12,4,12,3,84,0
5,2000,12,0,12,4,12,4,83,0
5,2000,12,0,12,4,12,5,81,0
5,2000,12,0,13,4,13,1,82,0
5,2000,12,0,13,4,13,2,85,0
5,2000,12,0,13,4,13,3,84,0
5,2000,12,0,13,4,13,4,83,0
5,2000,12,0,13,4,13,5,81,0
5,2000,12,0,14,4,14,1,82,0
5,2000,12,0,14,4,14,2,85,0
5,2000,12,0,14,4,14,3,84,0
5,2000,12,0,14,4,14,4,83,0
5,2000,12,0,14,4,14,5,81,0
5,2000,12,0,15,4,15,1,82,0
5,2000,12,0,15,4,15,2,85,0
5,2000,12,0,15,4,15,3,84,0
5,2000,12,0,15,4,15,4,83,0
5,2000,12,0,15,4,15,5,81,0
5,2000,12,0,16,4,16,1,82,0
5,2000,12,0,16,4,16,2,85,0
5,2000,12,0,16,4,16,3,84,0
5,2000,12,0,16,4,16,4,83,0
5,2000,12,0,16,4,16,5,81,0
5,2000,12,0,17,4,17,1,82,0
5,2000,12,0,17,4,17,2,85,0
5,2000,12,0,17,4,17,3,84,0
5,2000,12,0,17,4,17,4,83,0
5,2000,12,0,17,4,17,5,81,0
5,2000,12,0,18,4,18,1,82,0
5,2000,12,0,18,4,18,2,85,0
5,2000,12,0,18,4,18,3,84,0
5,2000,12,0,18,4,18,4,83,0
5,2000,12,0,18,4,18,5,81,0
5,2000,12,0,19,4,19,1,82,0
5,2000,12,0,19,4,19,2,85,0
5,2000,12,0,19,4,19,3,84,0
5,2000,12,0,19,4,19,4,83,0
5,2000,12,0,19,4,19,5,81,0
5,2000,12,0,20,4,20,1,82,0
5,2000,12,0,20,4,20,2,85,0
5,2000,12,0,20,4,20,3,84,0
5,2000,12,0,20,4,20,4,83,0
5,2000,12,0,20,4,20,5,81,0
Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,2000,12,5,1,0,1,1,33,0
5,2000,12,5,1,0,1,2,57,3
5,2000,12,5,1,0,1,3,73,5
5,2000,12,5,1,0,1,4,85,5
5,2000,12,5,1,0,1,5,86,5
5,2000,12,5,2,0,2,1,85,5
5,2000,12,5,2,0,2,2,85,5
5,2000,12,5,2,0,2,3,82,5
5,2000,12,5,2,0,2,4,85,5
5,2000,12,5,2,0,2,5,86,5
5,2000,12,5,3,0,3,1,85,5
5,2000,12,5,3,0,3,2,85,5
5,2000,12,5,3,0,3,3,82,5
5,2000,12,5,3,0,3,4,85,5
5,2000,12,5,3,0,3,5,86,5
5,2000,12,5,4,0,4,1,85,5
5,2000,12,5,4,0,4,2,85,5
5,2000,12,5,4,0,4,3,82,5
5,2000,12,5,4,0,4,4,85,5
5,2000,12,5,4,0,4,5,86,5
5,2000,12,5,5,0,5,1,85,5
5,2000,12,5,5,0,5,2,85,5
5,2000,12,5,5,0,5,3,82,5
5,2000,12,5,5,0,5,4,85,5
5,2000,12,5,5,0,5,5,86,5
5,2000,12,5,6,0,6,1,85,5
5,2000,12,5,6,0,6,2,85,5
5,2000,12,5,6,0,6,3,82,5
5,2000,12,5,6,0,6,4,85,5
5,2000,12,5,6,0,6,5,86,5
5,2000,12,5,7,0,7,1,85,5
5,2000,12,5,7,0,7,2,85,5
5,2000,12,5,7,0,7,3,82,5
5,2000,12,5,7,0,7,4,85,5
5,2000,12,5,7,0,7,5,86,5
5,2000,12,5,8,0,8,1,85,5
5,2000,12,5,8,0,8,2,85,5
5,2000,12,5,8,0,8,3,82,5
5,2000,12,5,8,0,8,4,85,5
5,2000,12,5,8,0,8,5,86,5
5,2000,12,5,9,0,9,1,85,5
5,2000,12,5,9,0,9,2,85,5
5,2000,12,5,9,0,9,3,82,5
5,2000,12,5,9,0,9,4,85,5
5,2000,12,5,9,0,9,5,86,5
5,2000,12,5,10,0,10,1,85,5
5,2000,12,5,10,0,10,2,85,5
5,2000,12,5,10,0,10,3,82,5
5,2000,12,5,10,0,10,4,85,5
5,2000,12,5,10,0,10,5,86,5
5,2000,12,5,11,0,11,1,85,5
5,2000,12,5,11,0,11,2,85,5
5,2000,12,5,11,0,11,3,82,5
5,2000,12,5,11,0,11,4,85,5
5,2000,12,5,11,0,11,5,86,5
5,2000,12,5,12,0,12,1,85,5
5,2000,12,5,12,0,12,2,85,5
5,2000,12,5,12,0,12,3,82,5
5,2000,12,5,12,0,12,4,85,5
5,2000,12,5,12,0,12,5,86,5
5,2000,12,5,13,0,13,1,85,5
5,2000,12,5,13,0,13,2,85,5
5,2000,12,5,13,0,13,3,82,5
5,2000,12,5,13,0,13,4,85,5
5,2000,12,5,13,0,13,5,86,5
5,2000,12,5,14,0,14,1,85,5
5,2000,12,5,14,0,14,2,85,5
