NUmber of circulation,Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
50,5,1000,4,0,39,1,39,1,128,0
50,5,1000,4,0,39,1,39,2,131,0
50,5,1000,4,0,39,1,39,3,128,0
50,5,1000,4,0,39,1,39,4,125,0
50,5,1000,4,0,39,1,39,5,126,0
50,5,1000,4,0,40,1,40,1,128,0
50,5,1000,4,0,40,1,40,2,131,0
50,5,1000,4,0,40,1,40,3,128,0
50,5,1000,4,0,40,1,40,4,125,0
50,5,1000,4,0,40,1,40,5,126,0
50,5,1000,4,0,41,1,41,1,128,0
50,5,1000,4,0,41,1,41,2,131,0
50,5,1000,4,0,41,1,41,3,128,0
50,5,1000,4,0,41,1,41,4,125,0
50,5,1000,4,0,41,1,41,5,126,0
50,5,1000,4,0,42,1,42,1,128,0
50,5,1000,4,0,42,1,42,2,131,0
50,5,1000,4,0,42,1,42,3,128,0
50,5,1000,4,0,42,1,42,4,125,0
50,5,1000,4,0,42,1,42,5,126,0
50,5,1000,4,0,43,1,43,1,128,0
50,5,1000,4,0,43,1,43,2,131,0
50,5,1000,4,0,43,1,43,3,128,0
50,5,1000,4,0,43,1,43,4,125,0
50,5,1000,4,0,43,1,43,5,126,0
50,5,1000,4,0,44,1,44,1,128,0
50,5,1000,4,0,44,1,44,2,131,0
50,5,1000,4,0,44,1,44,3,128,0
50,5,1000,4,0,44,1,44,4,125,0
50,5,1000,4,0,44,1,44,5,126,0
50,5,1000,4,0,45,1,45,1,128,0
50,5,1000,4,0,45,1,45,2,131,0
50,5,1000,4,0,45,1,45,3,128,0
50,5,1000,4,0,45,1,45,4,125,0
50,5,1000,4,0,45,1,45,5,126,0
50,5,1000,4,0,46,1,46,1,128,0
50,5,1000,4,0,46,1,46,2,131,0
50,5,1000,4,0,46,1,46,3,128,0
50,5,1000,4,0,46,1,46,4,125,0
50,5,1000,4,0,46,1,46,5,126,0
50,5,1000,4,0,47,1,47,1,128,0
50,5,1000,4,0,47,1,47,2,131,0
50,5,1000,4,0,47,1,47,3,128,0
50,5,1000,4,0,47,1,47,4,125,0
50,5,1000,4,0,47,1,47,5,126,0
50,5,1000,4,0,48,1,48,1,128,0
50,5,1000,4,0,48,1,48,2,131,0
50,5,1000,4,0,48,1,48,3,128,0
50,5,1000,4,0,48,1,48,4,125,0
50,5,1000,4,0,48,1,48,5,126,0
50,5,1000,4,0,49,1,49,1,128,0
50,5,1000,4,0,49,1,49,2,131,0
50,5,1000,4,0,49,1,49,3,128,0
50,5,1000,4,0,49,1,49,4,125,0
50,5,1000,4,0,49,1,49,5,126,0
50,5,1000,4,0,50,1,50,1,128,0
50,5,1000,4,0,50,1,50,2,131,0
50,5,1000,4,0,50,1,50,3,128,0
50,5,1000,4,0,50,1,50,4,125,0
50,5,1000,4,0,50,1,50,5,126,0
NUmber of circulation,Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
50,5,1000,4,0,1,2,1,1,50,0
50,5,1000,4,0,1,2,1,2,89,0
50,5,1000,4,0,1,2,1,3,112,0
50,5,1000,4,0,1,2,1,4,127,0
50,5,1000,4,0,1,2,1,5,129,0
50,5,1000,4,0,2,2,2,1,131,0
50,5,1000,4,0,2,2,2,2,131,0
50,5,1000,4,0,2,2,2,3,123,0
50,5,1000,4,0,2,2,2,4,127,0
50,5,1000,4,0,2,2,2,5,129,0
50,5,1000,4,0,3,2,3,1,131,0
50,5,1000,4,0,3,2,3,2,131,0
50,5,1000,4,0,3,2,3,3,123,0
50,5,1000,4,0,3,2,3,4,127,0
50,5,1000,4,0,3,2,3,5,129,0
50,5,1000,4,0,4,2,4,1,131,0
50,5,1000,4,0,4,2,4,2,131,0
